Site Name;State Terr;Oper Stat;
Allen Stagefield AL;Alabama;Active;
Louisville Stagefield AL;Alabama;Active;
MCB Camp Smith;Hawaii;Active;
MC Trng Area Bellows;Hawaii;Active;
Glenview;Illinois;Active;
ALF Orange;Texas;Active;
Saylor Creek Air Force Range;Idaho;Active;
Laughlin AFB;Texas;Active;
Buckley AFB;Colorado;Active;
Columbus Auxiliary Airfield;Mississippi;Active;
Goodfellow AFB;Texas;Active;
Birch Lake Recreation Annex;Alaska;Active;
Louisville IAP-Standiford FL Site 1;Kentucky;Active;
Kelly AFB;Texas;Active;
NG Camp Joseph T Robinson;Arkansas;Active;
NG Camp Ashland;Nebraska;Active;
NG GUARNG Barrigada Complex;Guam;Active;
NG Volkstone;West Virginia;Active;
NAVBASE Coronado;California;Active;
Finegayan South;Guam;Active;
Grand Forks Defense Fuel Support Point;North Dakota;Active;
Jim Creek;Washington;Active;
Waianae Kai Military Reservation;Hawaii;Active;
Picatinny Arsenal;New Jersey;Active;
Arlington Service Ctr;Virginia;Active;
CBC Gulfport MS;Mississippi;Active;
UTTR - North;Utah;Active;
March ARB;California;Active;
Newington Defense Fuel Support Point;New Hampshire;Active;
Gila Bend Air Force Auxiliary Field;Arizona;Active;
Lakehurst;New Jersey;Active;
Randolph AFB;Texas;Active;
NG Macon Readiness Center;Georgia;Active;
NG MTA Camp Butner;North Carolina;Active;
NG MTA Camp Rilea;Oregon;Active;
NG Frankfort Boone NG Center;Kentucky;Active;
Makaha Ridge;Hawaii;Active;
NOLF Wolf;Alabama;Active;
NAVSUPPACT Annapolis;Maryland;Active;
Jonathan Dickinson Tracking Annex;Florida;Active;
Fort Gordon;Georgia;Active;
NAVSUPPACT Norfolk NSY;Virginia;Active;
Lafayette Rvr Complex;Virginia;Active;
Eglin Air Force Auxiliary Field 3 Duke Fld;Florida;Active;
Wright-Patt AFB;Ohio;Active;
Lackland AFB;Texas;Active;
NG Sparta Armory;Illinois;Active;
NG MTA Camp Crowder Neosho;Missouri;Active;
NG Hollidaysburg Readiness Center;Pennsylvania;Active;
NG Camp Beauregard;Louisiana;Active;
NG Helena Aviation RC- AASF- C12;Montana;Active;
NG Lansing Joint Forces Readiness Center;Michigan;Active;
NG Camp Perry Joint Training Center;Ohio;Active;
NG Oklahoma Military Department;Oklahoma;Active;
NG Salina KS Training Center;Kansas;Active;
NAVOBSSTA Flagstaff AZ;Arizona;Active;
Target B-16;Nevada;Active;
Barin Field;Alabama;Active;
Old Town Site 1;California;Active;
Broadway Complex;California;Active;
Mission Gorge Rec Area;California;Active;
McGuire;New Jersey;Active;
Northside Mid-South;Tennessee;Active;
NSWC Carderock Div;Tennessee;Active;
Umatilla Chemical Depot;Oregon;Active;
Defense Supply Center Columbus;Ohio;Active;
US Army Garrison Selfridge;Michigan;Active;
Pupukea Paalaa Uka Mil Road;Hawaii;Active;
Marine Corps Museum;Virginia;Active;
Det Phil Pny Annex;Pennsylvania;Active;
Sasa Valley;Guam;Active;
Utah Test and Training Range South UT;Utah;Active;
